Major Subjects in Matric,Major in Intermediate,Intermediate Percentage,Favorite Subject,Area of Interest,Your Current Domain
Biology,A Levels,75 - 99,Biology,Bio Sciences,Bio Sciences
O Level,A Levels,60 - 75,Finance / Accounting / Statistics,Business Administration,Business Administration
Biology,A Levels,75 - 99,Physics,Bio Sciences,Bio Sciences
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Software Engineering,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Software Engineering,Software Engineering
O Level,A Levels,60 - 75,Mathematics,Software Engineering,Computer Science
Computer,I COM,45 - 60,Finance / Accounting / Statistics,Account and Finance,Business Administration
Computer,I COM,75 - 99,Finance / Accounting / Statistics,Mathematics,Account and Finance
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Mathematics,Electrical Engineering
Computer,Fsc Pre Medical,60 - 75,Computer Science,Software Engineering,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,A Levels,60 - 75,Biology,Psychology,Psychology
Computer,Fsc Pre Engineering,60 - 75,Physics,Psychology,Electrical Engineering
O Level,Fsc Pre Medical,60 - 75,Mathematics,Mathematics,Mathematics
Arts,I COM,45 - 60,Finance / Accounting / Statistics,Business Administration,Account and Finance
Computer,Fsc Pre Engineering,75 - 99,Computer Science,Civil Engineering,Computer Science
Arts,I COM,45 - 60,Mathematics,English,English
Computer,ICS,45 - 60,Mathematics,Account and Finance,Account and Finance
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Engineering,60 - 75,Computer Science,Software Engineering,Software Engineering
O Level,A Levels,75 - 99,Computer Science,Software Engineering,Software Engineering
Computer,I COM,75 - 99,Finance / Accounting / Statistics,Business Administration,Account and Finance
Arts,I COM,60 - 75,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Arts,I COM,60 - 75,Mathematics,Mathematics,Software Engineering
Biology,Fsc Pre Engineering,60 - 75,Mathematics,Mechanical Engineering,Mechanical Engineering
Biology,Fsc Pre Engineering,75 - 99,Mathematics,Civil Engineering,Mechanical Engineering
O Level,I COM,60 - 75,Mathematics,Psychology,Psychology
O Level,Fsc Pre Engineering,75 - 99,Mathematics,Mathematics,Mathematics
Arts,I COM,75 - 99,Finance / Accounting / Statistics,Mathematics,Business Administration
Computer,Fsc Pre Engineering,75 - 99,Computer Science,Computer Science,Computer Science
O Level,A Levels,60 - 75,Mathematics,Civil Engineering,Civil Engineering
O Level,Fsc Pre Engineering,75 - 99,Computer Science,Software Engineering,Software Engineering
Arts,I COM,75 - 99,Finance / Accounting / Statistics,Business Administration,Business Administration
Computer,ICS,60 - 75,Computer Science,Mathematics,Computer Science
O Level,A Levels,60 - 75,Biology,Psychology,Bio Sciences
Biology,ICS,60 - 75,Finance / Accounting / Statistics,Business Administration,Business Administration
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
O Level,A Levels,60 - 75,Mathematics,Mathematics,Mathematics
Computer,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Arts,I COM,60 - 75,Finance / Accounting / Statistics,Mathematics,Business Administration
Biology,I COM,75 - 99,Finance / Accounting / Statistics,Account and Finance,Business Administration
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Arts,I COM,60 - 75,Mathematics,Civil Engineering,Mechanical Engineering
Computer,Fsc Pre Engineering,60 - 75,English,English,English
Computer,ICS,75 - 99,Computer Science,Computer Science,Computer Science
O Level,A Levels,60 - 75,Physics,Mechanical Engineering,Mechanical Engineering
O Level,Fsc Pre Engineering,75 - 99,English,English,English
Arts,I COM,60 - 75,Chemistry,Software Engineering,Software Engineering
Arts,I COM,75 - 99,Finance / Accounting / Statistics,Business Administration,Account and Finance
Computer,Fsc Pre Engineering,75 - 99,Mathematics,Civil Engineering,Civil Engineering
O Level,Fsc Pre Engineering,75 - 99,Mathematics,Civil Engineering,Civil Engineering
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Bio Sciences
Arts,I COM,75 - 99,Finance / Accounting / Statistics,Account and Finance,Business Administration
O Level,A Levels,60 - 75,Computer Science,Computer Science,Software Engineering
Computer,Fsc Pre Engineering,75 - 99,Computer Science,Software Engineering,Software Engineering
O Level,Fsc Pre Medical,75 - 99,Chemistry,Psychology,Psychology
Arts,ICS,60 - 75,Mathematics,Mathematics,Mathematics
Biology,Fsc Pre Engineering,60 - 75,Physics,Mechanical Engineering,Mechanical Engineering
Biology,A Levels,60 - 75,Biology,Bio Sciences,Bio Sciences
O Level,Fsc Pre Engineering,75 - 99,Physics,Civil Engineering,Civil Engineering
Computer,ICS,75 - 99,Computer Science,Software Engineering,Computer Science
Biology,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,English,Software Engineering,Software Engineering
O Level,Fsc Pre Engineering,75 - 99,Chemistry,Bio Sciences,Bio Sciences
Computer,Fsc Pre Medical,75 - 99,Biology,Psychology,Psychology
Computer,ICS,60 - 75,Computer Science,Computer Science,Software Engineering
O Level,A Levels,45 - 60,Computer Science,Software Engineering,Computer Science
Biology,A Levels,75 - 99,Biology,Bio Sciences,Bio Sciences
Arts,I COM,60 - 75,Finance / Accounting / Statistics,Account and Finance,Business Administration
O Level,Fsc Pre Medical,75 - 99,Biology,Software Engineering,Computer Science
Computer,Fsc Pre Engineering,75 - 99,Mathematics,Software Engineering,Software Engineering
O Level,A Levels,75 - 99,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Computer,ICS,60 - 75,English,Business Administration,Business Administration
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,60 - 75,Physics,Psychology,Psychology
Biology,Fsc Pre Medical,60 - 75,Biology,Software Engineering,Software Engineering
O Level,A Levels,60 - 75,Physics,Mechanical Engineering,Mechanical Engineering
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
O Level,I COM,60 - 75,Finance / Accounting / Statistics,Business Administration,Business Administration
O Level,A Levels,60 - 75,Biology,Psychology,Bio Sciences
Arts,I COM,60 - 75,Mathematics,Account and Finance,Business Administration
O Level,ICS,60 - 75,Biology,Psychology,Psychology
Computer,ICS,60 - 75,Computer Science,Software Engineering,Mathematics
Biology,I COM,60 - 75,Mathematics,English,Mathematics
Biology,I COM,45 - 60,English,English,English
Computer,Fsc Pre Engineering,60 - 75,Finance / Accounting / Statistics,Business Administration,Account and Finance
Computer,ICS,60 - 75,English,Business Administration,Business Administration
Biology,Fsc Pre Engineering,75 - 99,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Computer,ICS,45 - 60,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Engineering,45 - 60,English,Business Administration,Business Administration
Biology,Fsc Pre Engineering,60 - 75,English,Business Administration,Business Administration
Computer,Fsc Pre Engineering,75 - 99,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Psychology
Biology,I COM,75 - 99,Finance / Accounting / Statistics,Bio Sciences,English
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Psychology
Biology,Fsc Pre Engineering,60 - 75,Mathematics,Electrical Engineering,Electrical Engineering
O Level,A Levels,75 - 99,English,English,English
O Level,A Levels,75 - 99,English,English,English
O Level,A Levels,75 - 99,English,English,English
Biology,Fsc Pre Medical,60 - 75,Biology,Mathematics,Psychology
Biology,Fsc Pre Medical,75 - 99,Biology,Psychology,Psychology
Computer,Fsc Pre Engineering,60 - 75,Physics,Psychology,Account and Finance
Computer,Fsc Pre Engineering,45 - 60,Mathematics,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Mathematics,English,English
Biology,Fsc Pre Engineering,60 - 75,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Biology,Fsc Pre Medical,75 - 99,Physics,Bio Sciences,Bio Sciences
Biology,A Levels,45 - 60,Mathematics,Mathematics,Psychology
Computer,A Levels,60 - 75,Computer Science,Psychology,Psychology
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Mathematics,Psychology,Psychology
Biology,Fsc Pre Medical,75 - 99,Biology,Psychology,Psychology
Computer,Fsc Pre Engineering,45 - 60,Computer Science,Software Engineering,Software Engineering
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Arts,I COM,60 - 75,Mathematics,Mathematics,Business Administration
O Level,A Levels,60 - 75,Computer Science,Software Engineering,Computer Science
Biology,Fsc Pre Medical,75 - 99,Chemistry,Business Administration,Bio Sciences
Biology,Fsc Pre Engineering,75 - 99,Mathematics,Software Engineering,Software Engineering
Biology,Fsc Pre Medical,60 - 75,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Biology,Bio Sciences,Bio Sciences
Arts,ICS,75 - 99,Computer Science,English,English
Computer,A Levels,45 - 60,English,Business Administration,English
Biology,Fsc Pre Engineering,60 - 75,Physics,Mathematics,Mathematics
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Psychology
Computer,ICS,60 - 75,Mathematics,Mathematics,Mathematics
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Computer,ICS,60 - 75,Mathematics,Computer Science,Computer Science
Biology,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,English
Biology,Fsc Pre Medical,75 - 99,Biology,Psychology,Psychology
Computer,ICS,75 - 99,Computer Science,Software Engineering,Software Engineering
Arts,I COM,45 - 60,English,Psychology,English
Biology,Fsc Pre Medical,60 - 75,Biology,Bio Sciences,Bio Sciences
Arts,I COM,45 - 60,English,Psychology,Psychology
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
O Level,A Levels,45 - 60,Physics,Mechanical Engineering,Mechanical Engineering
O Level,I COM,60 - 75,Mathematics,Mathematics,Mathematics
Arts,ICS,60 - 75,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Biology,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Biology,Fsc Pre Engineering,75 - 99,Mathematics,Mechanical Engineering,Software Engineering
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Psychology
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,75 - 99,Biology,Psychology,Psychology
Biology,Fsc Pre Medical,60 - 75,Biology,Bio Sciences,Bio Sciences
Computer,I COM,45 - 60,Finance / Accounting / Statistics,Account and Finance,Business Administration
O Level,A Levels,60 - 75,Mathematics,English,English
Arts,I COM,60 - 75,Finance / Accounting / Statistics,Account and Finance,Account and Finance
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Psychology
Computer,I COM,75 - 99,Finance / Accounting / Statistics,Account and Finance,Account and Finance
O Level,A Levels,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,60 - 75,Biology,English,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Chemistry,Mathematics,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Chemistry,Mathematics,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Chemistry,Mathematics,Bio Sciences
Biology,Fsc Pre Medical,75 - 99,Chemistry,Mathematics,Bio Sciences
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Mechanical Engineering,Electrical Engineering
Biology,Fsc Pre Medical,60 - 75,Computer Science,Mechanical Engineering,Mechanical Engineering
Biology,Fsc Pre Engineering,60 - 75,Mathematics,Mechanical Engineering,Software Engineering
Biology,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Software Engineering
Biology,Fsc Pre Engineering,60 - 75,Physics,Civil Engineering,Civil Engineering
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,Fsc Pre Medical,60 - 75,Chemistry,Bio Sciences,Bio Sciences
Biology,ICS,60 - 75,Computer Science,Psychology,Psychology
Biology,Fsc Pre Medical,60 - 75,English,Psychology,Psychology
Biology,Fsc Pre Engineering,75 - 99,Mathematics,Civil Engineering,Civil Engineering
Arts,ICS,75 - 99,English,English,English
Biology,Fsc Pre Engineering,75 - 99,Physics,Computer Science,Business Administration
Biology,A Levels,75 - 99,Mathematics,Civil Engineering,Civil Engineering
Biology,I COM,60 - 75,Computer Science,Account and Finance,Account and Finance
Arts,I COM,60 - 75,Mathematics,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
O Level,A Levels,60 - 75,Finance / Accounting / Statistics,Account and Finance,Business Administration
Computer,ICS,60 - 75,English,Account and Finance,Account and Finance
Arts,I COM,75 - 99,Mathematics,Mathematics,Mathematics
Arts,ICS,60 - 75,Computer Science,Computer Science,Computer Science
Biology,Fsc Pre Medical,60 - 75,Chemistry,Computer Science,Computer Science
Biology,A Levels,60 - 75,Computer Science,Computer Science,Computer Science
Computer,ICS,60 - 75,Computer Science,Software Engineering,Software Engineering
Arts,A Levels,75 - 99,English,English,Civil Engineering
O Level,A Levels,60 - 75,Physics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Arts,I COM,60 - 75,Finance / Accounting / Statistics,English,English
Computer,ICS,75 - 99,Computer Science,Computer Science,Computer Science
Computer,I COM,60 - 75,Finance / Accounting / Statistics,Electrical Engineering,Electrical Engineering
Arts,ICS,75 - 99,English,English,English
Arts,ICS,60 - 75,English,English,English
Computer,Fsc Pre Engineering,75 - 99,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Chemistry,Civil Engineering,Mechanical Engineering
Computer,ICS,60 - 75,Computer Science,Computer Science,Computer Science
O Level,A Levels,60 - 75,Finance / Accounting / Statistics,Electrical Engineering,Mathematics
Biology,Fsc Pre Medical,60 - 75,Biology,Bio Sciences,Bio Sciences
Biology,A Levels,60 - 75,Mathematics,Civil Engineering,Civil Engineering
Computer,Fsc Pre Engineering,60 - 75,Physics,Mechanical Engineering,Mechanical Engineering
Biology,Fsc Pre Engineering,60 - 75,Chemistry,Mechanical Engineering,Mechanical Engineering
Biology,Fsc Pre Medical,60 - 75,Biology,Psychology,Bio Sciences
Computer,I COM,45 - 60,Finance / Accounting / Statistics,Account and Finance,Account and Finance
O Level,Fsc Pre Medical,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,A Levels,75 - 99,Biology,Bio Sciences,Bio Sciences
Biology,A Levels,75 - 99,Biology,Bio Sciences,Bio Sciences
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,I COM,45 - 60,English,Software Engineering,Bio Sciences
O Level,A Levels,75 - 99,English,English,English
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Medical,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,Fsc Pre Engineering,60 - 75,Mathematics,Software Engineering,Software Engineering
Computer,I COM,60 - 75,Chemistry,Mathematics,Electrical Engineering
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
O Level,I COM,60 - 75,Biology,Mathematics,Civil Engineering
Computer,I COM,60 - 75,Biology,Computer Science,Mathematics
Computer,Fsc Pre Engineering,75 - 99,Physics,Civil Engineering,Mathematics
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
Computer,Fsc Pre Engineering,60 - 75,Computer Science,Computer Science,Computer Science
